Price,City,Temperature (C),Weather Condition
"$2,076",Dubai,32.96,overcast clouds
"$1,664",Dubai,32.96,overcast clouds
"$1,491",Dubai,32.96,overcast clouds
"$2,391",Dubai,32.96,overcast clouds
"$2,391",Dubai,32.96,overcast clouds
"$1,778",Dubai,32.96,overcast clouds
"$2,065",Dubai,32.96,overcast clouds
"$2,065",Dubai,32.96,overcast clouds
"$1,661",Dubai,32.96,overcast clouds
"$1,688",Dubai,32.96,overcast clouds
"$2,684",Dubai,32.96,overcast clouds
"$2,678",Dubai,32.96,overcast clouds
"$1,790",Dubai,32.96,overcast clouds
"$2,684",Dubai,32.96,overcast clouds
"$1,655",Dubai,32.96,overcast clouds
"$1,827",Dubai,32.96,overcast clouds
"$1,827",Dubai,32.96,overcast clouds
